"r.id","r.title","r.tally_ayes","r.progress_report","r.tally_nays","r.status","r.requested"
98.0,POLKADOT INSIDER - 28 WEEKS OPERATION & GROWTH FUNDING (AUGUST 2023 - FEBRUARY 2024),"84014070836280166","","70753875695134942",Executed,"142570000000000"
99.0,Patron Milestones 2-7 Development,"11392479246899974","","77670626251967240",Rejected,"183915960000000"
100.0,A small tip for a staking rewards calculator,"12349961824093595","","2877257686000000",Executed,"2250000000000"
101.0,Milestone 3 Proposal: Polkadot x EasyA Hackathons at Harvard and in London (#60DaysOfPolkadot),"14547479335906641","","76070592607473734",Rejected,"439209400000000"
102.0,[Retroactive] Polytope Labs: ISMP Research & Development,"42013787315189836","","127519351004998357",Rejected,"995200000000000"
103.0,Milestone 3: Polkadot Hackathon Global Series 2023,"27183003894634488","","12059760773400084",Executed,"602468880000000"
104.0,Polkadot journal: A Marketing Proposal for Polkadot/Kusama,"4695001000000","","96660291693693263",Rejected,"24410000000000"
105.0,Proposal: OpenZeppelin x Polkadot Ecosystem Growth,"134282616364668932","","4902005592823739",Executed,"438771439000000"
106.0,Community-Centric Blockchain Education: Dacade's Commitment to Polkadot's Growth via learning through sharing,"465606000000","","103768562356226486",Rejected,"104000000000000"
107.0,LayerX - rollout parachain as Trustless Bridge between Polkadot and Ethereum.,"3493000235388797","","246373721953929015",Rejected,"813000000000000"
108.0,SmallTipper,"11108966022407254","","961962055218180",Executed,-1
109.0,Polkasafe - Milestone 2 - Retroactive funding proposal,"16070726209056086","","98977517165456391",Rejected,"419361500000000"
110.0,[Whitelisted Caller] Referendum #110: Update Parachain Validation Config,"683281081018690746","","100000000000",Executed,-1
111.0,Propose Curator for PAL Bounty,"95493714808178395","","17777890804504847",Executed,-1
112.0,Refunding Pink Node's GOV1 Treasury Spend Deposit,"69152021103005665","","327411000000000",Executed,-1
113.0,Refunding MIDL.DEV's GOV1 Treasury Spend Deposit,"69352023123048861","","127410000000000",Executed,-1
114.0,Refunding Radium Block's GOV1 Treasury Spend Deposit,"69648154997105304","","277411000000000",Executed,-1
115.0,Refunding CCTF's GOV1 Treasury Spend Deposit,"64594605431954482","","277411000000000",Executed,-1
116.0,PolkaWorld Ops and Maintenance proposal：2023.9 - 2023.11,"5523343568617809","","76696229910302130",Rejected,"168420000000000"
117.0,"Societal: Advanced Treasury, Governance and Member Management Systems for Decentralized Communities","24166257260041021","","173944310878143430",Rejected,"266160000000000"
118.0,Maintenance for the substrate-api-client Sep-23 to Dec-23,"103930610102269851","","14625532046127677",Executed,"41000000000000"
119.0,An Open Communication Layer For Polkadot,"98811673049258586","","17740582108842062",Executed,"272590000000000"
120.0,Multix - Further development and Cypress Dapp testing plugin,"133774234380594846","","7416842711678819",Executed,"428200000000000"
121.0,Crypto-Friendly Substrate Scaffold Pallets for Every Parachains,"16397704225277700","","95284370676527194",Rejected,"203596878000000"
122.0,[Whitelisted Caller] Referendum #122: Register KSM on Asset Hub,"820683503550912355","","50000000000000",Executed,-1
123.0,Recognising Paradox's Contributions to Reject Gov 1 Proposals and Release Bonds,"65100288208785736","","207088341525147",Executed,"3000000000000"
124.0,Magnet Proposal: Polkadot’s Smart Contract Docking Station using DOT as Gas Based on the PAYG Model,"88388774826571764","","24050041848514849",Executed,"401051930000000"
125.0,"Nova Spektr Milestone 3 Proposal: Dynamic Derivations, WalletConnect v2, Proxy accounts, Cross-chain transfers, Fiat values, Ethereum address support, Staking improvements, Wallet details, App Store and Microsoft Store","257789662191831750","","85897279426335442",Executed,"1291450000000000"
126.0,RadiumBlock: Retroactive funding for High Performance Public Endpoint Service for Polkadot(Q4 2022 and Q1 2023),"4774247660347505","","104696987837479320",Rejected,"194014500000000"
127.0,Void - incorrect spend submitted,"2505643001000000","","113192029349617951",Rejected,"1947798990000000000"
128.0,Allocate DOT Loan for Use Amongst Cross-Ecosystem DeFi within the Cosmos Ecosystem,"15325779157222911","","107575001334910580",Rejected,"1947790000000000"
129.0,Encointer Treasury Proposal (budget halving),"10536680843173578","","217998596806882886",Rejected,"598950000000000"
130.0,Cancel Old Auctions Schedule - Replaced by New Schedule After OpenGov Inclusion,"836627037916003840","","51000000000",Executed,-1
131.0,"Polkadot @ SXSW 2023, Austin, Texas on March 12th-15th 2023","6420616815548666","","104030652717816590",Rejected,"710680000000000"
132.0,Unbrick Nodle,"1297968075659845601","","100000001000",Executed,-1
133.0,Election of curation team - bounty 19: Wasm Smart Contracts Bounty,"114853659420640295","","5915780769474191",Executed,-1
134.0,Proposal: Building a better understanding of blockchain across mainstream global media,"226025876183234420","","92828883271128350",Executed,"539380130000000"
135.0,Moderation Team Bounty,"141909297733378247","","3354161258053582",Executed,-1
136.0,Create & implement RFC14 - Improve locking mechanism for parachains,"12590656445507207","","495976707428057",Executed,"9500000000000"
137.0,ink!Hub Treasury Proposal ,"116943796329071657","","79495095332278701",Executed,"580180000000000"
138.0,OnFinality High Performance Public Infrastructure (Q3 2023),"16201776132044385","","139123534157978387",Rejected,"121537439000000"
139.0,Moonbeam: Swap Leases with Parachain 3342,"673520176458294217","","5743000000000",Executed,-1
140.0,(VOTE NAY!!) Polkadot Parachain Assets Onramp Bounty Program ,"150094811557816501","","118367843935080284",Executed,"756000000000000"
141.0,Increasing Hiring Success in Polkadot by Missing Link,"98155237155010209","","21648531242166908",Executed,"441960000000000"
142.0,Increase MaxMemoryPages to 512MB,"796291342915339278","","100000000000",Executed,-1
143.0,Refunding AlexPromoTeam GOV1 Treasury Spend Deposit,"7097651801915592","","83210853802104157",Rejected,"1000000000000"
144.0,Small Tips retroactive for Content in Portuguese UPDATED (Vote Nay - if you set AYE Change your vote to NAY),"5396719548509261","","84966680738032824",Rejected,"2500000000000"
145.0,Subsquid - Public data indexing Infrastructure for Polkadot and Kusama (Q2 2023),"109089775209592170","","20291978157342087",Executed,"582536600000000"
146.0,KAGOME – the C++ implementation of Polkadot Host milestone 2,"90739019018917290","","132340631978901211",Rejected,"2538620000000000"
147.0,Ignore / Nay (Duplicate Ref) ,"2635442916222079","","108666123141393135",Rejected,-1
148.0,Notifi - Communication & Notification Tooling for Polkadot's Broader Ecosystem V2 Proposal,"17388019614814429","","109025452507963337",Rejected,"350083930000000"
149.0,Untitled,"55002001000000","","118925066193308879",TimedOut,-1
150.0,Bounty: The Genesis Incentive Pool,"81738389246133264","","361560204738429796",Rejected,-1
151.0,Polkadot System Parachain Collators - Tips,"109356877463526617","","10353573614992727",ExecutionFailed,"0"
152.0,KryptosChain Media Support (Continuation) - Big Tipper Request,"115504455016117338","","23603295508997576",Executed,"8413400000000"
153.0,"ink! OpenBrush 8-9, 11 milestone delivery","151455586687745664","","130392772102237994",Executed,"148336230000000"
154.0,Retroactive and future maintenance/development of Parachains.info,"30721444368458966","","107079898119224003",Rejected,"224000000000000"
155.0,Polkadot & Teddy DAO: A New Way to Leverage Charitable Giving in Web3,"212960028021378673","","14418802925131299",Executed,"450740000000000"
156.0,Polkadot System Parachain Collators - Tips - Referenda #151 failed to execute,"141509777540871406","","7502545688472512",Executed,"0"
157.0,Increase DOT media visibility through media buying and airdrop campaign,"290025099664517202","","555469753272975091",Rejected,"2470580000000000"
158.0,PolkaWorld Ops and Maintenance proposal：2023.10 - 2024.3,"285334273619194708","","42147084567406253",Executed,"324200000000000"
159.0,Moderation Team Bounty Curator Proposal,"67144869322148228","","15732554049046161",Executed,-1
160.0,"AIWeb3 Chinese Unit proposal (爱Web3 中文社区提案) - September, 2023 - March, 2024","329223937837237742","","119252617068094901",Executed,"162310000000000"
161.0,Apillon Platform Milestone 1 Proposal,"409922465100898147","","31207494314453700",Executed,"1714540500000000"
162.0,Polkadot Live: Proposal for funding community driven development to initial release.,"163638325568609132","","30295319927314623",Executed,"249370000000000"
163.0,Polkadot Parachain Assets Onramp Bounty Program,"138629804444317755","","25601512917201086",Executed,-1
164.0,SmallTipper,"11240682610253540","","100000000000",Executed,-1
165.0,Polkadot Nominator Insight Hub. Spreading the Best Nominator Strategies through TOP Nomination Leaderboards,"158859889596602731","","142150471545863232",Executed,"324800000000000"
166.0,Tweak Polkadot's Ideal Staking Rate,"798786277788837662","","4691799508784957",Executed,-1
167.0,Maintenance & Support Python Libraries (April to September 2023),"345963542128318378","","105466919859418800",Executed,"64447000000000"
168.0,A French content hub for Polkadot Ecosystem,"166428488601863707","","109027781990728785",Executed,"52330000000000"
169.0,Need to get tip which is not executed in old gov,"2396592934768540","","75062813595474378",Rejected,"150000000000"
170.0,Coinsider Media Campaign for Polkadot,"301823110327982534","","105172143247631497",Executed,"50000000000000"
171.0,Get tip for substrate PR,"78389514809038127","","781911000000000",Executed,"150000000000"
172.0,OpenSquare infrastructure products maintenance(2023 Q2 and Q3) and a new batch of features development,"159747435068953148","","132594605709526109",Executed,"674380000000000"
173.0,Dubbing Polkadot Decoded 2023 into Italian,"4534511000000000","","96170226397284528",Rejected,"1302270000000"
174.0,Proposal for USDC Sufficiency on Polkadot Asset Hub,"1135922442168412552","","100000000000",Executed,-1
175.0,SubQuery <> Nova Wallet Common API:  Maintenance Cost For Q1-Q2 2023,"194051717741193526","","116871267327003441",Executed,"111838100000000"
176.0,SmallTipper,"96184197489315692","","70100000000000",Executed,-1
177.0,Polkadot Unity SDK proposal to become a Verified Solution (Part 1),"418369414693033482","","15088141225582367",Executed,"426850000000000"
178.0,Dot Leap 2: Let's grow!,"156099592495757185","","130692057429261986",Executed,"378510000000000"
179.0,Polkadot Blockchain Academy - retroactive funding for wave 3 of the Academy held at UC Berkeley this Summer.,"472926634166033717","","17592747082190137",Executed,"2558350140000000"
180.0,Beyond Raw Data: How Polkascan Transforms Subsquid Aggregates into a User-Friendly Polkadot Experience (Polkadot Treasury Proposal),"34929308145728263","","117077753462710581",Rejected,"169550000000000"
181.0,"Polkawatch, Decentralization Analytics, Continued Operation and Development","316429662376528678","","113011722152527532",Executed,"121150000000000"
182.0,Featured Research Proposal: Empowering the Polkadot Ecosystem [CryptoEQ],"422627451000000","","106787936970157437",TimedOut,"54570000000000"
183.0,Polkassembly Social Contract | Maintenance proposal Q3 & Q4’23,"121370265733504103","","22904025680582367",Executed,"431540000000000"
184.0,Cryptozilla - retroactive and continuation of video content production. (Big Tipper),"310901388627187753","","11398274066909959",Executed,"9800000000000"
185.0,Proposal：Polkadot Hackathon 2023 Winter in HongKong,"305246745690294722","","143158441451217728",Executed,"905400000000000"
186.0,Public rpc services for polkadot including the common chains in Q3 2023,"34249168906073472","","124468186708478217",Rejected,"17110000000000"
187.0,Encode latest tranche request,"303986072709122954","","47167792233312730",Executed,"120916500000000"
188.0,"ELLIPAL Self-custody Cold Wallet 1 Proposal: DOT/KSM Tokens, Staking,ASTR & GLMR Parachains&Tokens,DOT/KSM/ ASTR/GLMR Swap,WalletConnect v2,Polkadot Wallet Integration","3058219566813823","","155590453039779199",Rejected,"339430000000000"
189.0,Kuma Wallet - Milestone 5,"1557463318779763","","155812473519489018",Rejected,"94520000000000"
190.0,Recognizing Alice und Bob and #stakedot,"311958890306648104","","450052000000000",Executed,"2500000000000"
191.0,Polkadot RPC services Dwellir Q3 2023 (retroactive) ,"332627368807304515","","107875227131513894",Executed,"47746000000000"
192.0,Removed,"650217551000010","","155626346467870762",Rejected,"4256600000000000"
193.0,DOTCAST - Pursuing quality improvement by spreading honest and true awareness.,"323157663318631181","","111820838172936558",Executed,"43950000000000"
194.0,[TrackingChain] Bring Adoption for Companies: Building Infrastructure for Web2 Integration (Big Tipper Discussion),"303764007695063235","","10795354249467972",Executed,"10000000000000"
195.0,Please vote against,"223229872152575","","126128699436386927",TimedOut,"9250000000000"
196.0,Educational content maintenance proposal by Cryptonitas,"311866324741423785","","3431620886441372",Executed,"9250000000000"
197.0,Polkadot Weigher,"75940551465250932","","1090182000000000",Executed,"2000000000000"
198.0,Big Tips for Content in Portuguese - Verbo da Sabedoria Channel,"71705441015734560","","5068015396327592",Executed,"7000000000000"
199.0,Polkadot Ecosystem App Store - Dynamic App Pages & Project Reputation System - dotappstore.com,"303657333911518404","","134089503217742854",TimedOut,-1
200.0,Polkadot Relayers 2023 Milestone 2,"325756303288862852","","20737239689864835",Executed,"262813830000000"
201.0,KAGOME – the C++ implementation of Polkadot Host milestone 2,"350600815479628623","","110700110574889735",Executed,"1684320000000000"
202.0,Proposal: The operating cost for the research organization Polkadot Ecology Research Institute for 2023/10-2024/3,"409447211862640483","","41033188213073215",Executed,"280100000000000"
203.0,💎DOT Airdrop on Terra 2.0 ✅,"307827824000000","","161098009523445245",Killed,"100000000000000"
204.0,Kill Referendum 203 (Scam Referendum),"135262785035351375","","16120501000000000",Executed,-1
205.0,Treasury Proposal: Parachain Loan Financing (PLF) Kapex Parachain,"2683017400043632","","450538773353622923",Rejected,"5925730000000000"
206.0,Please ignore or disapprove!,"0","","32730223646644778",TimedOut,"244741490000000000"
207.0,Go-Substrate-Rpc-Client - Retroactive Maintenance Grant (Sept 2021 to Dec 2023),"425363562976614277","","10637673631033082",Executed,"244740000000000"
208.0,[Root] Referendum #208,"0","","137522580739583963",TimedOut,"426500000000000"
209.0,[Retroactive Funding] Dotinsights - A Research Hub & Data Platform for Polkadot & Kusama Ecosystem,"325967612843188445","","147552280099367964",Executed,"426500000000000"
210.0,SmallTipper,"87473161680646261","","0",Executed,-1
211.0,"[Whitelisted Caller] Referendum #211: Upgrade Polkadot v1,000,000","349114115779517253","","111146641327164752",Cancelled,-1
212.0,"","543511965872279","","39855802302667243",TimedOut,-1
213.0,KryptosChain Media (The Next Level!) - 6 Months of funding,"320096254447575942","","582891992303287385",Rejected,"0"
214.0,[PRE-IMAGE FIX + RESUBMISSION] Polkadot Ecosystem App Store - Dynamic App Pages & Project Reputation System - dotappstore.com,"334255735483842796","","114867008265105432",Executed,"18000000000000"
215.0,Smoldot development financing Q4/2023,"468155982142856019","","12264234874816906",Executed,"189826915423000"
216.0,Milestone 3 Proposal: Polkadot x EasyA Hackathons at Harvard and in London (#60DaysOfPolkadot),"306418905797937750","","39645523131706892",Executed,"547536100000000"
217.0,Long Overdue Tip for Leemo's Contributions to the Polkadot Ecosystem,"407020419199844490","","16408403000000000",Executed,"4206900000000"
218.0,KryptosChain en Español (Polkadot ecosystem video content in Spanish) - 12 weeks funding,"302768752581317939","","181065069498896674",Executed,"19599300000000"
219.0,BlockchainBrad Educational & Journalist Content - 6 Months funding,"443491498855876543","","27381904208938364",Executed,"141650000000000"
220.0,Proof-driven Whistleblowing: Decrease in the Number of Teams in the Ecosystem. Several Posts/Research by Rita2me.,"1589026395762959","","152023224094746655",Rejected,"11110000000000"
221.0,"PolkaTube: Empowering the Spanish-Speaking Polkadot Ecosystem with RUST Programming, Substrate, and Marketing Content","307998998788890883","","163480759714945532",Executed,"48950000000000"
222.0,Markedot: Marketplace and marketing with profits for the Polkadot and Kusama  community.,"160960523228779510","","34457678162925492",Executed,"35350000000000"
223.0,"Polkadot Pulse 1.0 & Polkadot Networking Night @ IBW, ETHIndia Week","421525132734624690","","43404401592285618",Executed,"247010000000000"
224.0,Proposal: Funding for the Brazilian Portuguese Language Content Producers Group,"3108875519093985","","183105553739776484",Rejected,"170000000000000"
225.0,Retroactive funding for 73videos about Polkadot ecosystem(波卡梦龙),"301186582052000000","","125034519376417658",Executed,"15630000000000"
226.0,AfterSide Crypto in Italian (Polkadot ecosystem video content in Italian) - 2 Videos,"304583545054454750","","162346936585476474",Executed,"15000000000000"
227.0,Retroactive tip for Polkadot booth at Hacktivity Security Festival 2023,"305655099542606253","","3298988097734942",Executed,"3500000000000"
228.0,Non-custodial DOT payments integration for major eCommerce platforms,"39158860032987941","","427762383407371355",Rejected,"597468400000000"
229.0, [VOTE NAY - RESUBMISSION IN PROCESS] Activation and retention of developers in Turkey and India for the Polkadot Ecosystem,"758356460449078","","156620290219868136",Rejected,"1387110000000000"
230.0,Polkadot Sanctuary: A Journey of Achievements and Innovations in Bali - Retroactive funding,"414493649738943858","","34337796796261889",Executed,"69700000000000"
231.0,Polkadot Treasury USDT Acquisition,"486106493728324775","","64827575858455316",Executed,-1
232.0,Chain Cohort Event Sponsorship - Opportunity to tap more than 1000 developers community and technology university in Vietnam.,"303948419848041453","","525751670582367",Executed,"5900000000000"
233.0,Enhance analytics solutions for Polkadot: Chainspect's Treasury Proposal,"4057457794890173","","102756179909401666",Rejected,"59170000000000"
234.0,"Title: Polkadot @CoindeskConsensus 2023, April 26-28, 2023 in Austin, Texas","317276889984531487","","119683607097203282",Executed,"1377680000000000"
235.0,Invalid: Events Bounty V2 Curator Candidacy,"865111236388797","","153086497342665043",TimedOut,"10000000000000000"
236.0,Events Bounty V2 Curator Candidacy,"96575069470356354","","12461647537619453",Executed,-1
237.0,Retroactive Funding - Polkasafe Revised Proposal,"419884482483095698","","42488562463214426",Executed,"331247000000000"
238.0,IBC x Largest Polkadot Developer Outreach Proposal,"74200000000000","","290201662829730108",Rejected,"821403400000000"
239.0,Cancel Referendum 211 (runtime upgrade) due to bad call ,"503726532252071657","","0",Executed,-1
